CD_CID;DS_CID;CD_SUBGRUPO;DS_SUBGRUPO;CD_GRUPO;DS_GRUPO;CD_CAPITULO;DS_CAPITULO
Q627;REFLUXO VESICO-URETERO-RENAL CONGEN;Q62;ANOM CONG OBSTR PELV RENAL MALF CONG URETER;Q60-Q64;MALFORMAÇÕES CONGÊNITAS DO APARELHO URINÁRIO;17;MALFORMAÇÕES CONGÊNITAS, DEFORMIDADES E ANOMALIAS CROMOSSÔMICAS
E109;S/COMPLIC;E10;DIABETES MELLITUS INSULINO-DEPENDENTE;E10-E14;DIABETES MELLITUS;4;DOENÇAS ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS
Y710;DISP P/FINS DIAGN OU DE MONITORIZACAO;Y71;DISP CARDIOVASCULARES ASSOC INCID ADVERSOS;Y70-Y82;INCIDENTES ADVERSOS DURANTE ATOS DIAGNÓSTICOS OU TERAPÊUTICOS ASSOCIADOS AO USO DE DISPOSITIVOS (APARELHOS) MÉDICOS;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
X972;ESCOLAS OUTR INSTIT AREAS ADMIN PUBLICA;X97;AGRESSAO P/MEIO DE FUMACA FOGO E CHAMAS;X85-Y09;AGRESSÕES;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
J06;INFECC AGUDAS VIAS AEREAS SUPER LOC MULT NE;J06;INFECC AGUDAS VIAS AEREAS SUPER LOC MULT NE;J00-J06;INFECÇÕES AGUDAS DAS VIAS AÉREAS SUPERIORES;10;DOENÇAS DO APARELHO RESPIRATÓRIO
C05;NEOPL MALIG DO PALATO;C05;NEOPL MALIG DO PALATO;C00-C14;NEOPLASIAS [TUMORES] MALIGNAS(OS) DO LÁBIO, CAVIDADE ORAL E FARINGE;2;NEOPLASIAS [TUMORES]
M354;FASCIITE DIFUSA;M35;OUTR AFECCOES SISTEMICAS DO TEC CONJUNTIVO;M30-M36;DOENÇAS SISTÊMICAS DO TECIDO CONJUNTIVO;13;DOENÇAS DO SISTEMA OSTEOMUSCULAR E DO TECIDO CONJUNTIVO
L55;QUEIM SOLAR;L55;QUEIM SOLAR;L55-L59;TRANSTORNOS DA PELE E DO TECIDO SUBCUTÂNEO RELACIONADOS COM A RADIAÇÃO;12;DOENÇAS DA PELE E DO TECIDO SUBCUTÂNEO
W887;FAZENDA;W88;EXPOSICAO A RADIACAO IONIZANTE;W85-W99;EXPOSIÇÃO À CORRENTE ELÉTRICA, À RADIAÇÃO E ÀS TEMPERATURAS E PRESSÕES EXTREMAS DO AMBIENTE;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
K283;AGUDA S/HEMORRAGIA OU PERFURACAO;K28;ULCERA GASTROJEJUNAL;K20-K31;DOENÇAS DO ESÔFAGO, DO ESTÔMAGO E DO DUODENO;11;DOENÇAS DO APARELHO DIGESTIVO
D807;HIPOGAMAGLOBULINEMIA TRANSITORIA DA INFANCIA;D80;IMUNODEFIC C/PREDOM DEFEITOS ANTICORPOS;D80-D89;ALGUNS TRANSTORNOS QUE COMPROMETEM O MECANISMO IMUNITÁRIO;3;DOENÇAS DO SANGUE E DOS ÓRG. HEMATOPOÉTICOS E ALGUNS TRANSTORNOS IMUNITÁRIOS
L129;PENFIGOIDE NE;L12;PENFIGOIDE;L10-L14;AFECÇÕES BOLHOSAS;12;DOENÇAS DA PELE E DO TECIDO SUBCUTÂNEO
G378;OUTR DOENC DESMIEL ESPEC SIST NERV CENTR;G37;OUTR DOENC DESMIELINIZANTES SIST NERV CENTR;G35-G37;DOENÇAS DESMIELINIZANTES DO SISTEMA NERVOSO CENTRAL;6;DOENÇAS DO SISTEMA NERVOSO
C310;SEIO MAXILAR;C31;NEOPL MALIG DOS SEIOS DA FACE;C30-C39;NEOPLASIAS [TUMORES] MALIGNAS(OS) DO APARELHO RESPIRATÓRIO E DOS ÓRGÃOS 2INTRATORÁCICOS;2;NEOPLASIAS [TUMORES]
T393;OUTR ANTIINFLAMATORIOS NAO ESTEROIDES;T39;INTOX ANALGES ANTIPIRET ANTI-REUMAT N-OPIAC;T36-T50;INTOXICAÇÃO POR DROGAS, MEDICAMENTOS E SUBSTÂNCIAS BIOLÓGICAS;19;LESÕES, ENVENENAMENTO E ALGUMAS OUTRAS CONSEQ. DE CAUSAS EXTERNAS
P60;COAGULACAO INTRAVASC DISSEM FETO REC-NASC;P60;COAGULACAO INTRAVASC DISSEM FETO REC-NASC;P50-P61;"TRANSTORNOS HEMORRÁGICOS E HEMATOLÓGICOS DO FETO E DO RECÉM-NASCIDO;TRANST HEMORRÁG E HEMATOLÓG FETO E RECÉM-NASCIDO";16;ALGUMAS AFECÇÕES ORIGINADAS NO PERÍODO PERINATAL
A539;SIFILIS NE;A53;OUTR FORM E AS NE DA SIFILIS;A50-A64;INFECÇÕES DE TRANSMISSÃO PREDOMINANTEMENTE SEXUAL;1;ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS
W388;OUTR LOCAIS ESPEC;W38;EXPLOSAO RUPTURA OUTR AP PRESSURIZADOS ESPEC;W20-W49;EXPOSIÇÃO A FORÇAS MECÂNICAS INANIMADAS;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
W928;OUTR LOCAIS ESPEC;W92;EXPOSICAO CALOR EXCESSIVO ORIG ARTIFICIAL;W85-W99;EXPOSIÇÃO À CORRENTE ELÉTRICA, À RADIAÇÃO E ÀS TEMPERATURAS E PRESSÕES EXTREMAS DO AMBIENTE;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
F502;BULIMIA NERVOSA;F50;TRANST DA ALIMENTACAO;F50-F59;SÍNDROMES COMPORTAMENTAIS ASSOCIADAS A DISFUNÇÕES FISIOLÓGICAS E A FATORES FÍSICOS;5;TRANSTORNOS MENTAIS E COMPORTAMENTAIS
F420;COM PREDOM IDEIAS OU RUMINACOES OBSESSIVAS;F42;TRANST OBSESSIVO-COMPULSIVO;F40-F48;"TRANSTORNOS NEURÓTICOS, TRANSTORNOS RELACIONADOS COM O ""STRESS"" E TRANSTORNOS SOMATOFORMES";5;TRANSTORNOS MENTAIS E COMPORTAMENTAIS
D839;IMUNODEFICIENCIA COMUM VARIAVEL NE;D83;IMUNODEFICIENCIA COMUM VARIAVEL;D80-D89;ALGUNS TRANSTORNOS QUE COMPROMETEM O MECANISMO IMUNITÁRIO;3;DOENÇAS DO SANGUE E DOS ÓRG. HEMATOPOÉTICOS E ALGUNS TRANSTORNOS IMUNITÁRIOS
F19;TRANST MENT COMP MULT DROG OUT SUBST PSICOAT;F19;TRANST MENT COMP MULT DROG OUT SUBST PSICOAT;F10-F19;TRANSTORNOS MENTAIS E COMPORTAMENTAIS DEVIDOS AO USO DE SUBSTÂNCIA PSICOATIVA;5;TRANSTORNOS MENTAIS E COMPORTAMENTAIS
E88;OUTR DISTURBIOS METABOLICOS;E88;OUTR DISTURBIOS METABOLICOS;E70-E90;DISTÚRBIOS METABÓLICOS;4;DOENÇAS ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS
D57;TRANST FALCIFORMES;D57;TRANST FALCIFORMES;D55-D59;ANEMIAS HEMOLÍTICAS;3;DOENÇAS DO SANGUE E DOS ÓRG. HEMATOPOÉTICOS E ALGUNS TRANSTORNOS IMUNITÁRIOS
X921;HABITACAO COLETIVA;X92;AGRESSAO P/MEIO DE AFOGAMENTO E SUBMERSAO;X85-Y09;AGRESSÕES;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
E779;DISTURBIO NE DO METABOLISMO GLICOPROTEINAS;E77;DISTURBIOS DO METABOLISMO DE GLICOPROTEINAS;E70-E90;DISTÚRBIOS METABÓLICOS;4;DOENÇAS ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS
H536;CEGUEIRA NOTURNA;H53;DISTURBIOS VISUAIS;H53-H54;TRANSTORNOS VISUAIS E CEGUEIRA;7;DOENÇAS DO OLHO E ANEXOS
F020;DEMENCIA DA DOENC DE PICK;F02;DEMENCIA EM OUTR DOENC COP;F00-F09;TRANSTORNOS MENTAIS ORGÂNICOS, INCLUSIVE OS SINTOMÁTICOS;5;TRANSTORNOS MENTAIS E COMPORTAMENTAIS
V244;CONDUTOR ACID TRANS;V24;MOTOCICL TRAUM COLIS VEIC TRANSP PESADO ONIB;V20-V29;MOTOCICLISTA TRAUMATIZADO EM UM ACIDENTE DE TRANSPORTE;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
B91;SEQUELAS DE POLIOMIELITE;B91;SEQUELAS DE POLIOMIELITE;B90-B94;SEQÜELAS DE DOENÇAS INFECCIOSAS E PARASITÁRIAS;1;ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS
X035;AREAS DE COMERCIO E DE SERVICOS;X03;EXPOS FOGO CONTR FORA EDIF OUTR TIPO CONSTR;X00-X09;EXPOSIÇÃO AO FUMO, AO FOGO E ÀS CHAMAS;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
F656;TRANST MULT DA PREFERENCIA SEXUAL;F65;TRANST DA PREFERENCIA SEXUAL;F60-F69;TRANSTORNOS DA PERSONALIDADE E DO COMPORTAMENTO DO ADULTO;5;TRANSTORNOS MENTAIS E COMPORTAMENTAIS
S468;TRAUM OUTR MUSC TENDOES NIVEL OMBRO BRACO;S46;TRAUM DE TENDAO E MUSCULO NIVEL OMBRO BRACO;S40-S49;TRAUMATISMOS DO OMBRO E DO BRAÇO;19;LESÕES, ENVENENAMENTO E ALGUMAS OUTRAS CONSEQ. DE CAUSAS EXTERNAS
W349;LOCAL NE;W34;PROJETEIS DE OUTR ARMAS DE FOGO E DAS NE;W20-W49;EXPOSIÇÃO A FORÇAS MECÂNICAS INANIMADAS;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
Y549;SAIS MINERAIS NCOP;Y54;SUBST ATUAM PRIM METAB AGUA SAIS MIN AC URIC;Y40-Y59;"EFEITOS ADVERSOS DE DROGAS, MEDICAMENTOS E SUBSTÂNCIAS BIOLÓGICAS USADAS COM FINALIDADE TERAPÊUTICA;EF ADVERS DROG, MEDIC E SUBST BIOLÓG FINALID TERAP";20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
Q543;HIPOSPADIA PERINEAL;Q54;HIPOSPADIAS;Q50-Q56;MALFORMAÇÕES CONGÊNITAS DOS ÓRGÃOS GENITAIS;17;MALFORMAÇÕES CONGÊNITAS, DEFORMIDADES E ANOMALIAS CROMOSSÔMICAS
K804;CALCULOSE DE VIA BILIAR C/COLECISTITE;K80;COLELITIASE;K80-K87;TRANSTORNOS DA VESÍCULA BILIAR, DAS VIAS BILIARES E DO PÂNCREAS;11;DOENÇAS DO APARELHO DIGESTIVO
Q23;MALFORMACOES CONGEN VALVAS AORTICA E MITRAL;Q23;MALFORMACOES CONGEN VALVAS AORTICA E MITRAL;Q20-Q28;MALFORMAÇÕES CONGÊNITAS DO APARELHO CIRCULATÓRIO;17;MALFORMAÇÕES CONGÊNITAS, DEFORMIDADES E ANOMALIAS CROMOSSÔMICAS
V432;PESSOA VIAJANDO EXT VEIC ACID N-TRANS;V43;OCUP AUTOMOV TRAUM COL AUTO PICKUP CAMINHON;V40-V49;OCUPANTE DE UM AUTOMÓVEL TRAUMATIZADO EM UM ACIDENTE DE TRANSPORTE;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
F199;TRANST MENTAL OU COMPORT NE;F19;TRANST MENT COMP MULT DROG OUT SUBST PSICOAT;F10-F19;TRANSTORNOS MENTAIS E COMPORTAMENTAIS DEVIDOS AO USO DE SUBSTÂNCIA PSICOATIVA;5;TRANSTORNOS MENTAIS E COMPORTAMENTAIS
T751;AFOGAMENTO E SUBMERSAO NAO MORTAL;T75;EFEITOS DE OUTR CAUSAS EXTERNAS;T66-T78;OUTROS EFEITOS DE CAUSAS EXTERNAS E OS NÃO ESPECIFICADOS;19;LESÕES, ENVENENAMENTO E ALGUMAS OUTRAS CONSEQ. DE CAUSAS EXTERNAS
V449;OCUPANTE NE ACID TRANS;V44;OCUP AUTOM TRAUM COLIS VEIC TRANS PESAD ONIB;V40-V49;OCUPANTE DE UM AUTOMÓVEL TRAUMATIZADO EM UM ACIDENTE DE TRANSPORTE;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
K23;TRANST DO ESOFAGO EM DOENC COP;K23;TRANST DO ESOFAGO EM DOENC COP;K20-K31;DOENÇAS DO ESÔFAGO, DO ESTÔMAGO E DO DUODENO;11;DOENÇAS DO APARELHO DIGESTIVO
Z002;EXAME PERIODO CRESCIMENTO RAPIDO NA INFANCIA;Z00;EXAME GERAL INVEST PESS S/QUEIX DIAGN RELAT;Z00-Z13;PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE PARA EXAME E INVESTIGAÇÃO;21;FATORES QUE INFLUEN. O ESTADO DE SAÚDE E O CONTATO COM OS SERVIÇOS DE SAÚDE
V459;OCUPANTE NE ACID TRANS;V45;OCUP AUTOMOVEL TRAUM COLIS TREM VEIC FERROV;V40-V49;OCUPANTE DE UM AUTOMÓVEL TRAUMATIZADO EM UM ACIDENTE DE TRANSPORTE;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
I718;ANEURISMA DA AORTA DE LOCALIZ NE ROTO;I71;ANEURISMA E DISSECCAO DA AORTA;I70-I79;DOENÇAS DAS ARTÉRIAS, DAS ARTERÍOLAS E DOS CAPILARES;9;DOENÇAS DO APARELHO CIRCULATÓRIO
Y193;AREA P/A PRATICA DE ESPORTES E ATLETISMO;Y19;ENV OUT PROD QUIM SUBST NOC E NE INT N DET;Y10-Y34;EVENTOS (FATOS) CUJA INTENÇÃO É INDETERMINADA;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
Q804;FETO ARLEQUIM;Q80;ICTIOSE CONGEN;Q80-Q89;OUTRAS MALFORMAÇÕES CONGÊNITAS;17;MALFORMAÇÕES CONGÊNITAS, DEFORMIDADES E ANOMALIAS CROMOSSÔMICAS
L900;LIQUEN ESCLEROSO E ATROFICO;L90;AFECCOES ATROFICAS DA PELE;L80-L99;OUTRAS AFECÇÕES DA PELE E DO TECIDO SUBCUTÂNEO;12;DOENÇAS DA PELE E DO TECIDO SUBCUTÂNEO
T858;OUTR COMPLIC DISP PROT IMPL ENX INT NCOP;T85;COMPLIC OUTR DISP PROTETICOS IMPL ENX INT;T80-T88;COMPLICAÇÕES DE CUIDADOS MÉDICOS E CIRÚRGICOS, NÃO CLASSIFICADOS EM OUTRA PARTE;19;LESÕES, ENVENENAMENTO E ALGUMAS OUTRAS CONSEQ. DE CAUSAS EXTERNAS
A070;BALANTIDIASE;A07;OUTR DOENC INTESTINAIS P/PROTOZOARIOS;A00-A09;DOENÇAS INFECCIOSAS INTESTINAIS;1;ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS
N84;POLIPO DO TRATO GENITAL FEMIN;N84;POLIPO DO TRATO GENITAL FEMIN;N80-N98;TRANSTORNOS NÃO-INFLAMATÓRIOS DO TRATO GENITAL FEMININO;14;DOENÇAS DO APARELHO GENITURINÁRIO
W741;HABITACAO COLETIVA;W74;AFOGAMENTO E SUBMERSAO NE;W65-W74;AFOGAMENTO E SUBMERSÃO ACIDENTAIS;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
T43;INTOX P/DROGAS PSICOTROPICAS NCOP;T43;INTOX P/DROGAS PSICOTROPICAS NCOP;T36-T50;INTOXICAÇÃO POR DROGAS, MEDICAMENTOS E SUBSTÂNCIAS BIOLÓGICAS;19;LESÕES, ENVENENAMENTO E ALGUMAS OUTRAS CONSEQ. DE CAUSAS EXTERNAS
W914;RUA E ESTRADA;W91;EXPOSICAO A TIPO NE DE RADIACAO;W85-W99;EXPOSIÇÃO À CORRENTE ELÉTRICA, À RADIAÇÃO E ÀS TEMPERATURAS E PRESSÕES EXTREMAS DO AMBIENTE;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
Y912;INTOX ALCOOLICA GRAVE;Y91;EVIDENCIA ALCOOLISMO DETERM P/NIVEL DA INTOX;Y90-Y98;FATORES SUPLEMENTARES RELACIONADOS COM AS CAUSAS DE MORBIDADE E DE MORTALIDADE CLASSIFICADOS EM UTRA PARTE;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
Q972;MOSAICISMO CROMOSS LINH C/DIV NUM CROMOSS X;Q97;OUTR ANOM CROMOSS SEXUAIS FENOTIPO FEM NCOP;Q90-Q99;ANOMALIAS CROMOSSÔMICAS NÃO CLASSIFICADAS EM OUTRA PARTE;17;MALFORMAÇÕES CONGÊNITAS, DEFORMIDADES E ANOMALIAS CROMOSSÔMICAS
X364;RUA E ESTRADA;X36;VITIMA AVALANC DESAB TERRA OUT MOV SUP TERR;X30-X39;EXPOSIÇÃO ÀS FORÇAS DA NATUREZA;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
X148;OUTR LOCAIS ESPEC;X14;CONTATO C/AR E GASES QUENTES;X10-X19;CONTATO COM UMA FONTE DE CALOR OU COM SUBSTÂNCIAS QUENTES;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
N143;NEFROPATIA INDUZ P/METAIS PESADOS;N14;AFEC TUBUL TUBULO-INTERST IND DROG MET PESAD;N10-N16;DOENÇAS RENAIS TÚBULO-INTERSTICIAIS;14;DOENÇAS DO APARELHO GENITURINÁRIO
W584;RUA E ESTRADA;W58;MORDEDURA GOLPE PROVOC CROCODILO OU ALIGATOR;W50-W64;EXPOSIÇÃO A FORÇAS MECÂNICAS ANIMADAS;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
I371;INSUF DA VALVA PULMONAR;I37;TRANST DA VALVA PULMONAR;I30-I52;OUTRAS FORMAS DE DOENÇA DO CORAÇÃO;9;DOENÇAS DO APARELHO CIRCULATÓRIO
V496;OCUPANTE NE COLIS OUT VEIC NE MOT ACID TRANS;V49;OCUP AUTOMOVEL TRAUM OUTR ACID TRANSP E NE;V40-V49;OCUPANTE DE UM AUTOMÓVEL TRAUMATIZADO EM UM ACIDENTE DE TRANSPORTE;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
F010;DEMENCIA VASCULAR DE INICIO AGUDO;F01;DEMENCIA VASCULAR;F00-F09;TRANSTORNOS MENTAIS ORGÂNICOS, INCLUSIVE OS SINTOMÁTICOS;5;TRANSTORNOS MENTAIS E COMPORTAMENTAIS
I38;ENDOCARDITE DE VALVA NE;I38;ENDOCARDITE DE VALVA NE;I30-I52;OUTRAS FORMAS DE DOENÇA DO CORAÇÃO;9;DOENÇAS DO APARELHO CIRCULATÓRIO
Z577;EXPOSICAO OCUPACIONAL A VIBRACAO;Z57;EXPOSICAO OCUPACIONAL A FATORES DE RISCO;Z55-Z65;PESSOAS COM RISCOS POTENCIAIS À SAÚDE RELACIONADOS COM CIRCUNSTÂNCIAS SOCIOECONÔMICAS E PSICOSSOCIAIS;21;FATORES QUE INFLUEN. O ESTADO DE SAÚDE E O CONTATO COM OS SERVIÇOS DE SAÚDE
E243;SINDR DO ACTH ECTOPICO;E24;SINDR DE CUSHING;E20-E35;TRANSTORNOS DE OUTRAS GLÂNDULAS ENDÓCRINAS;4;DOENÇAS ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS
W571;HABITACAO COLETIVA;W57;MORDED PICADAS INSETO OUTR ARTROP N-VENEN;W50-W64;EXPOSIÇÃO A FORÇAS MECÂNICAS ANIMADAS;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
R864;ACHADOS IMUNOLOGICOS ANORMAIS;R86;ACHADOS ANORMAIS MAT PROV ORG GENITAIS MASC;R83-R89;ACHADOS ANORMAIS DE EXAMES E DE OUTROS LÍQUIDOS, SUBSTÂNCIAS E TECIDOS DO CORPO, SEM DIAGNÓSTICO;18;SINTOMAS, SINAIS E ACHADOS ANORMAIS DE EXAMES CLÍNICOS E DE LABORATÓRIO, NÃO CLASSIFICADOS
Z449;COLOCACAO E AJUSTAMENTO AP PROTESE EXT NE;Z44;COLOC AJUST APARELHOS DE PROTESE EXTERNA;Z40-Z54;PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE PARA PROCEDIMENTOS E CUIDADOS ESPECÍFICOS;21;FATORES QUE INFLUEN. O ESTADO DE SAÚDE E O CONTATO COM OS SERVIÇOS DE SAÚDE
D267;OUTR PARTES DO UTERO;D26;OUTR NEOPL BENIG DO UTERO;D10-D36;NEOPLASIAS [TUMORES] BENIGNAS(OS);2;NEOPLASIAS [TUMORES]
D752;TROMBOCITOSE ESSENCIAL;D75;OUTR DOENC SANGUE E ORGAOS HEMATOPOETICOS;D70-D77;OUTRAS DOENÇAS DO SANGUE E DOS ÓRGÃOS HEMATOPOÉTICOS;3;DOENÇAS DO SANGUE E DOS ÓRG. HEMATOPOÉTICOS E ALGUNS TRANSTORNOS IMUNITÁRIOS
R769;ACHADO ANORMAL EXAME IMUNOLOGICO SERICO NE;R76;OUTR ACHADOS IMUNOLOGICOS ANORMAIS NO SORO;R70-R79;ACHADOS ANORMAIS DE EXAMES DE SANGUE, SEM DIAGNÓSTICO;18;SINTOMAS, SINAIS E ACHADOS ANORMAIS DE EXAMES CLÍNICOS E DE LABORATÓRIO, NÃO CLASSIFICADOS
V366;PASSAGEIRO ACID TRANS;V36;OCUP TRIC MOT TRAUM COLIS OUTR VEIC N-MOTOR;V30-V39;OCUPANTE DE TRICICLO MOTORIZADO TRAUMATIZADO EM UM ACIDENTE DE TRANSPORTE;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
Q224;ESTENOSE CONGEN DA VALVA TRICUSPIDE;Q22;MALFORM CONGEN VALVAS PULMONAR TRICUSPIDE;Q20-Q28;MALFORMAÇÕES CONGÊNITAS DO APARELHO CIRCULATÓRIO;17;MALFORMAÇÕES CONGÊNITAS, DEFORMIDADES E ANOMALIAS CROMOSSÔMICAS
H27;OUTR TRANST DO CRISTALINO;H27;OUTR TRANST DO CRISTALINO;H25-H28;TRANSTORNOS DO CRISTALINO;7;DOENÇAS DO OLHO E ANEXOS
Z429;SEGUIMENTO ENVOLV CIRURGIA PLASTICA NE;Z42;SEGUIMENTO ENVOLV CIRURGIA PLASTICA;Z40-Z54;PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE PARA PROCEDIMENTOS E CUIDADOS ESPECÍFICOS;21;FATORES QUE INFLUEN. O ESTADO DE SAÚDE E O CONTATO COM OS SERVIÇOS DE SAÚDE
Z50;CUIDADOS ENVOLV USO PROCED DE REABILITACAO;Z50;CUIDADOS ENVOLV USO PROCED DE REABILITACAO;Z40-Z54;PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE PARA PROCEDIMENTOS E CUIDADOS ESPECÍFICOS;21;FATORES QUE INFLUEN. O ESTADO DE SAÚDE E O CONTATO COM OS SERVIÇOS DE SAÚDE
S418;FERIM OUTR PARTES E NE CINTURA ESCAPULAR;S41;FERIM DO OMBRO E DO BRACO;S40-S49;TRAUMATISMOS DO OMBRO E DO BRAÇO;19;LESÕES, ENVENENAMENTO E ALGUMAS OUTRAS CONSEQ. DE CAUSAS EXTERNAS
W517;FAZENDA;W51;COLIS ENTRE DUAS PESSOAS;W50-W64;EXPOSIÇÃO A FORÇAS MECÂNICAS ANIMADAS;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
I798;OUTR TRANST ARTER ARTERIOLAS CAPIL DOENC COP;I79;TRANST ARTER ARTERIOLAS CAPILARES DOENC COP;I70-I79;DOENÇAS DAS ARTÉRIAS, DAS ARTERÍOLAS E DOS CAPILARES;9;DOENÇAS DO APARELHO CIRCULATÓRIO
W15;QUEDA DE PENHASCO;W15;QUEDA DE PENHASCO;W00-W19;QUEDAS;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
Y554;EXPECTORANTES;Y55;SUBST ATUAM PRIM MUSC LISOS ESQUELET AP RESP;Y40-Y59;"EFEITOS ADVERSOS DE DROGAS, MEDICAMENTOS E SUBSTÂNCIAS BIOLÓGICAS USADAS COM FINALIDADE TERAPÊUTICA;EF ADVERS DROG, MEDIC E SUBST BIOLÓG FINALID TERAP";20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
A94;FEBRE VIRAL TRANSM P/ARTROPODES NE;A94;FEBRE VIRAL TRANSM P/ARTROPODES NE;A90-A99;FEBRES POR ARBOVÍRUS E FEBRES HEMORRÁGICAS VIRAIS;1;ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS
H442;MIOPIA DEGENERATIVA;H44;TRANST DO GLOBO OCULAR;H43-H45;TRANSTORNOS DO HUMOR VÍTREO E DO GLOBO OCULAR;7;DOENÇAS DO OLHO E ANEXOS
Y904;ALCOOLEMIA DE 80-99 MG/100ML;Y90;EVIDENCIA ALCOOLISMO DET P/TAXAS ALCOOLEMIA;Y90-Y98;FATORES SUPLEMENTARES RELACIONADOS COM AS CAUSAS DE MORBIDADE E DE MORTALIDADE CLASSIFICADOS EM UTRA PARTE;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
G408;OUTR EPILEPSIAS;G40;EPILEPSIA;G40-G47;TRANSTORNOS EPISÓDICOS E PAROXÍSTICOS;6;DOENÇAS DO SISTEMA NERVOSO
M85;OUTR TRANST DA DENSIDADE E ESTRUTURA OSSEAS;M85;OUTR TRANST DA DENSIDADE E ESTRUTURA OSSEAS;M80-M85;TRANSTORNOS DA DENSIDADE E DA ESTRUTURA ÓSSEA;13;DOENÇAS DO SISTEMA OSTEOMUSCULAR E DO TECIDO CONJUNTIVO
V16;CICLISTA TRAUM COLIS OUTR VEIC NAO-MOTORIZ;V16;CICLISTA TRAUM COLIS OUTR VEIC NAO-MOTORIZ;V10-V19;CICLISTA TRAUMATIZADO EM UM ACIDENTE DE TRANSPORTE;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
E140;C/COMA;E14;DIABETES MELLITUS NE;E10-E14;DIABETES MELLITUS;4;DOENÇAS ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS
S225;TORAX FUNDIDO;S22;FRAT DE COSTELAS ESTERNO E COLUNA TORACICA;S20-S29;TRAUMATISMOS DO TÓRAX;19;LESÕES, ENVENENAMENTO E ALGUMAS OUTRAS CONSEQ. DE CAUSAS EXTERNAS
B342;INFECC P/CORONAVIRUS NE;B34;DOENC P/VIRUS DE LOCALIZ NE;B25-B34;OUTRAS DOENÇAS POR VÍRUS;1;ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS
E121;C/CETOACIDOSE;E12;DIABETES MELLITUS RELAC C/A DESNUTR;E10-E14;DIABETES MELLITUS;4;DOENÇAS ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS
F101;USO NOCIVO P/A SAUDE;F10;TRANST MENTAIS COMPORT DEV USO ALCOOL;F10-F19;TRANSTORNOS MENTAIS E COMPORTAMENTAIS DEVIDOS AO USO DE SUBSTÂNCIA PSICOATIVA;5;TRANSTORNOS MENTAIS E COMPORTAMENTAIS
V724;PESSOA AO SUBIR OU DESCER DO VEIC;V72;OCUP ONIBUS TRAUM COL OUT VEIC MOT 2 3 RODAS;V70-V79;OCUPANTE DE UM ÔNIBUS TRAUMATIZADO EM UM ACIDENTE DE TRANSPORTE;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
